QUERY_ID,QUERY_TEXT,DATABASE_ID,DATABASE_NAME,SCHEMA_ID,SCHEMA_NAME,QUERY_TYPE,SESSION_ID,USER_NAME,ROLE_NAME,WAREHOUSE_ID,WAREHOUSE_NAME,WAREHOUSE_SIZE,WAREHOUSE_TYPE,CLUSTER_NUMBER,QUERY_TAG,EXECUTION_STATUS,ERROR_CODE,ERROR_MESSAGE,START_TIME,END_TIME,TOTAL_ELAPSED_TIME,BYTES_SCANNED,PERCENTAGE_SCANNED_FROM_CACHE,BYTES_WRITTEN,BYTES_WRITTEN_TO_RESULT,BYTES_READ_FROM_RESULT,ROWS_PRODUCED,ROWS_INSERTED,ROWS_UPDATED,ROWS_DELETED,ROWS_UNLOADED,BYTES_DELETED,PARTITIONS_SCANNED,PARTITIONS_TOTAL,BYTES_SPILLED_TO_LOCAL_STORAGE,BYTES_SPILLED_TO_REMOTE_STORAGE,BYTES_SENT_OVER_THE_NETWORK,COMPILATION_TIME,EXECUTION_TIME,QUEUED_PROVISIONING_TIME,QUEUED_REPAIR_TIME,QUEUED_OVERLOAD_TIME,TRANSACTION_BLOCKED_TIME,OUTBOUND_DATA_TRANSFER_CLOUD,OUTBOUND_DATA_TRANSFER_REGION,OUTBOUND_DATA_TRANSFER_BYTES,INBOUND_DATA_TRANSFER_CLOUD,INBOUND_DATA_TRANSFER_REGION,INBOUND_DATA_TRANSFER_BYTES,LIST_EXTERNAL_FILES_TIME,CREDITS_USED_CLOUD_SERVICES,RELEASE_VERSION,EXTERNAL_FUNCTION_TOTAL_INVOCATIONS,EXTERNAL_FUNCTION_TOTAL_SENT_ROWS,EXTERNAL_FUNCTION_TOTAL_RECEIVED_ROWS,EXTERNAL_FUNCTION_TOTAL_SENT_BYTES,EXTERNAL_FUNCTION_TOTAL_RECEIVED_BYTES,QUERY_LOAD_PERCENT,IS_CLIENT_GENERATED_STATEMENT,QUERY_ACCELERATION_BYTES_SCANNED,QUERY_ACCELERATION_PARTITIONS_SCANNED,QUERY_ACCELERATION_UPPER_LIMIT_SCALE_FACTOR,TRANSACTION_ID,CHILD_QUERIES_WAIT_TIME,ROLE_TYPE,QUERY_HASH,QUERY_HASH_VERSION,QUERY_PARAMETERIZED_HASH,QUERY_PARAMETERIZED_HASH_VERSION,SECONDARY_ROLE_STATS,ROWS_WRITTEN_TO_RESULT,QUERY_RETRY_TIME,QUERY_RETRY_CAUSE,FAULT_HANDLING_TIME,USER_TYPE,USER_DATABASE_NAME,USER_DATABASE_ID,USER_SCHEMA_NAME,USER_SCHEMA_ID
01ba7b56-0000-da3a-0001-933e0004f956,"with tables as (
            select
        table_catalog as ""table_database"",
        table_schema as ""table_schema"",
        table_name as ""table_name"",
        case
            when is_dynamic = 'YES' and table_type = 'BASE TABLE' THEN 'DYNAMIC TABLE'
            else table_type
        end as ""table_type"",
        comment as ""table_comment"",

        -- note: this is the _role_ that owns the table
        table_owner as ""table_owner"",

        'Clustering Key' as ""stats:clustering_key:label"",
        clustering_key as ""stats:clustering_key:value"",
        'The key used to cluster this table' as ""stats:clustering_key:description"",
        (clustering_key is not null) as ""stats:clustering_key:include"",

        'Row Count' as ""stats:row_count:label"",
        row_count as ""stats:row_count:value"",
        'An approximate count of rows in this table' as ""stats:row_count:description"",
        (row_count is not null) as ""stats:row_count:include"",

        'Approximate Size' as ""stats:bytes:label"",
        bytes as ""stats:bytes:value"",
        'Approximate size of the table as reported by Snowflake' as ""stats:bytes:description"",
        (bytes is not null) as ""stats:bytes:include"",

        'Last Modified' as ""stats:last_modified:label"",
        to_varchar(convert_timezone('UTC', last_altered), 'yyyy-mm-dd HH24:MI'||'UTC') as ""stats:last_modified:value"",
        'The timestamp for last update/change' as ""stats:last_modified:description"",
        (last_altered is not null and table_type='BASE TABLE') as ""stats:last_modified:include""
    from SALES_DW.INFORMATION_SCHEMA.tables
            where (
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_total_sales_by_channel_and_product' and upper(""table_name"") = upper('Vw_total_sales_by_channel_and_product')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'sales_goals' and upper(""table_name"") = upper('sales_goals')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_daily_sales' and upper(""table_name"") = upper('Vw_daily_sales')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_percent_variation' and upper(""table_name"") = upper('Vw_percent_variation')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_best_selling_products' and upper(""table_name"") = upper('Vw_best_selling_products')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_cum_sales' and upper(""table_name"") = upper('Vw_cum_sales')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'dLocation' and upper(""table_name"") = upper('dLocation')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'fSales' and upper(""table_name"") = upper('fSales')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'dSalesChannel' and upper(""table_name"") = upper('dSalesChannel')

                )
             or 
                (
                    
    ""table_schema"" ilike 'SCD_HISTORY' and upper(""table_schema"") = upper('SCD_HISTORY')

                    and 
    ""table_name"" ilike 'store_location_history' and upper(""table_name"") = upper('store_location_history')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'dProduct' and upper(""table_name"") = upper('dProduct')

                )
            )
        ),
        columns as (
            select
        table_catalog as ""table_database"",
        table_schema as ""table_schema"",
        table_name as ""table_name"",

        column_name as ""column_name"",
        ordinal_position as ""column_index"",
        data_type as ""column_type"",
        comment as ""column_comment""
    from SALES_DW.INFORMATION_SCHEMA.columns
            where (
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_total_sales_by_channel_and_product' and upper(""table_name"") = upper('Vw_total_sales_by_channel_and_product')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'sales_goals' and upper(""table_name"") = upper('sales_goals')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_daily_sales' and upper(""table_name"") = upper('Vw_daily_sales')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_percent_variation' and upper(""table_name"") = upper('Vw_percent_variation')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_best_selling_products' and upper(""table_name"") = upper('Vw_best_selling_products')

                )
             or 
                (
                    
    ""table_schema"" ilike 'CONSUMPTION' and upper(""table_schema"") = upper('CONSUMPTION')

                    and 
    ""table_name"" ilike 'Vw_cum_sales' and upper(""table_name"") = upper('Vw_cum_sales')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'dLocation' and upper(""table_name"") = upper('dLocation')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'fSales' and upper(""table_name"") = upper('fSales')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'dSalesChannel' and upper(""table_name"") = upper('dSalesChannel')

                )
             or 
                (
                    
    ""table_schema"" ilike 'SCD_HISTORY' and upper(""table_schema"") = upper('SCD_HISTORY')

                    and 
    ""table_name"" ilike 'store_location_history' and upper(""table_name"") = upper('store_location_history')

                )
             or 
                (
                    
    ""table_schema"" ilike 'DBT_PROJECT' and upper(""table_schema"") = upper('DBT_PROJECT')

                    and 
    ""table_name"" ilike 'dProduct' and upper(""table_name"") = upper('dProduct')

                )
            )
        )
        select *
    from tables
    join columns using (""table_database"", ""table_schema"", ""table_name"")
    order by ""column_index""",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474220618,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,X-Small,STANDARD,1,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:17.161 -0800,2025-02-18 12:06:23.286 -0800,6125,0,0,0,5836,0,52,0,0,0,0,0,4,0,0,0,0,4509,1577,0,0,0,0,,,0,,,0,39,0.000848,9.2.8,0,0,0,0,0,100,false,0,0,0,0,0,ROLE,81eeac6358f98812624cc7ed5c23bd6c,2,81eeac6358f98812624cc7ed5c23bd6c,1,,52,,,,,,,,
01ba7b56-0000-da0f-0001-933e0004c9ea,"with tables as (
            select
        table_catalog as ""table_database"",
        table_schema as ""table_schema"",
        table_name as ""table_name"",
        case
            when is_dynamic = 'YES' and table_type = 'BASE TABLE' THEN 'DYNAMIC TABLE'
            else table_type
        end as ""table_type"",
        comment as ""table_comment"",

        -- note: this is the _role_ that owns the table
        table_owner as ""table_owner"",

        'Clustering Key' as ""stats:clustering_key:label"",
        clustering_key as ""stats:clustering_key:value"",
        'The key used to cluster this table' as ""stats:clustering_key:description"",
        (clustering_key is not null) as ""stats:clustering_key:include"",

        'Row Count' as ""stats:row_count:label"",
        row_count as ""stats:row_count:value"",
        'An approximate count of rows in this table' as ""stats:row_count:description"",
        (row_count is not null) as ""stats:row_count:include"",

        'Approximate Size' as ""stats:bytes:label"",
        bytes as ""stats:bytes:value"",
        'Approximate size of the table as reported by Snowflake' as ""stats:bytes:description"",
        (bytes is not null) as ""stats:bytes:include"",

        'Last Modified' as ""stats:last_modified:label"",
        to_varchar(convert_timezone('UTC', last_altered), 'yyyy-mm-dd HH24:MI'||'UTC') as ""stats:last_modified:value"",
        'The timestamp for last update/change' as ""stats:last_modified:description"",
        (last_altered is not null and table_type='BASE TABLE') as ""stats:last_modified:include""
    from SALES_RAW.INFORMATION_SCHEMA.tables
            where (
                (
                    
    ""table_schema"" ilike 'PUBLIC' and upper(""table_schema"") = upper('PUBLIC')

                    and 
    ""table_name"" ilike 'PRODUCT_SALES_PERFORMANCE' and upper(""table_name"") = upper('PRODUCT_SALES_PERFORMANCE')

                )
            )
        ),
        columns as (
            select
        table_catalog as ""table_database"",
        table_schema as ""table_schema"",
        table_name as ""table_name"",

        column_name as ""column_name"",
        ordinal_position as ""column_index"",
        data_type as ""column_type"",
        comment as ""column_comment""
    from SALES_RAW.INFORMATION_SCHEMA.columns
            where (
                (
                    
    ""table_schema"" ilike 'PUBLIC' and upper(""table_schema"") = upper('PUBLIC')

                    and 
    ""table_name"" ilike 'PRODUCT_SALES_PERFORMANCE' and upper(""table_name"") = upper('PRODUCT_SALES_PERFORMANCE')

                )
            )
        )
        select *
    from tables
    join columns using (""table_database"", ""table_schema"", ""table_name"")
    order by ""column_index""",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474220618,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,X-Small,STANDARD,1,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:14.664 -0800,2025-02-18 12:06:17.062 -0800,2398,0,0,0,2847,0,13,0,0,0,0,0,3,0,0,0,0,1689,685,0,0,0,0,,,0,,,0,24,0.000327,9.2.8,0,0,0,0,0,100,false,0,0,0,0,0,ROLE,14a7a4840d84ca1c1d76853e829419a9,2,14a7a4840d84ca1c1d76853e829419a9,1,,13,,,,,,,,
01ba7b56-0000-da3a-0001-933e0004f952,show objects in SALES_DW.SCD_HISTORY limit 10000;,26,SALES_DW,35,DBT_PROJECT,SHOW,443369474220614,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,,STANDARD,,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:13.216 -0800,2025-02-18 12:06:13.278 -0800,62,0,0,0,136,0,,0,0,0,0,0,0,0,0,0,0,30,32,0,0,0,0,,,0,,,0,0,9e-06,9.2.8,0,0,0,0,0,,false,0,0,0,0,0,ROLE,d02b9546b991ec5e61d3ef2722516ed0,2,d02b9546b991ec5e61d3ef2722516ed0,1,,1,,,,,,,,
01ba7b56-0000-da2b-0001-933e0005087a,show objects in SALES_DW.CONSUMPTION limit 10000;,26,SALES_DW,35,DBT_PROJECT,SHOW,443369474220614,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,,STANDARD,,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:13.106 -0800,2025-02-18 12:06:13.152 -0800,46,0,0,0,641,0,,0,0,0,0,0,0,0,0,0,0,24,22,0,0,0,0,,,0,,,0,0,7e-06,9.2.8,0,0,0,0,0,,false,0,0,0,0,0,ROLE,b7addfd413ddb5e1b6cb5ed6c7c6dd53,2,b7addfd413ddb5e1b6cb5ed6c7c6dd53,1,,5,,,,,,,,
01ba7b56-0000-da0f-0001-933e0004c9e6,show objects in SALES_DW.DBT_PROJECT limit 10000;,26,SALES_DW,35,DBT_PROJECT,SHOW,443369474220614,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,,STANDARD,,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:12.993 -0800,2025-02-18 12:06:13.038 -0800,45,0,0,0,610,0,,0,0,0,0,0,0,0,0,0,0,24,21,0,0,0,0,,,0,,,0,0,7e-06,9.2.8,0,0,0,0,0,,false,0,0,0,0,0,ROLE,0703bcf67298056d4056a5292eef08f9,2,0703bcf67298056d4056a5292eef08f9,1,,5,,,,,,,,
01ba7b56-0000-da2b-0001-933e00050876,"select
      count(*) as failures,
      count(*) != 0 as should_warn,
      count(*) != 0 as should_error
    from (
      
    
    

select
    ID_SALES_CHANNEL as unique_field,
    count(*) as n_records

from SALES_DW.DBT_PROJECT.dSalesChannel
where ID_SALES_CHANNEL is not null
group by ID_SALES_CHANNEL
having count(*) > 1



      
    ) dbt_internal_test",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474281646,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,X-Small,STANDARD,1,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:06.727 -0800,2025-02-18 12:06:07.047 -0800,320,87650304,1,0,444,0,1,0,0,0,0,0,22,22,0,0,0,76,244,0,0,0,0,,,0,,,0,0,1.2e-05,9.2.8,0,0,0,0,0,100,false,0,0,0,0,0,ROLE,82d466fa5ff8f011684f413a58e8e384,2,82d466fa5ff8f011684f413a58e8e384,1,,1,,,,,,,,
01ba7b56-0000-da0f-0001-933e0004c9e2,"select
      count(*) as failures,
      count(*) != 0 as should_warn,
      count(*) != 0 as should_error
    from (
      
    
    

select
    SKU as unique_field,
    count(*) as n_records

from SALES_DW.DBT_PROJECT.dProduct
where SKU is not null
group by SKU
having count(*) > 1



      
    ) dbt_internal_test",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474281646,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,X-Small,STANDARD,1,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:05.731 -0800,2025-02-18 12:06:06.639 -0800,908,105324544,1,0,449,0,1,0,0,0,0,0,22,22,0,0,0,71,837,0,0,0,0,,,0,,,0,0,1.2e-05,9.2.8,0,0,0,0,0,100,false,0,0,0,0,0,ROLE,7fd9efb2223cd5910e43a67e3d15d0dd,2,7fd9efb2223cd5910e43a67e3d15d0dd,1,,1,,,,,,,,
01ba7b56-0000-d9fc-0001-933e0005801a,"select
      count(*) as failures,
      count(*) != 0 as should_warn,
      count(*) != 0 as should_error
    from (
      
    
    

select
    ID_PRODUCT as unique_field,
    count(*) as n_records

from SALES_DW.DBT_PROJECT.dProduct
where ID_PRODUCT is not null
group by ID_PRODUCT
having count(*) > 1



      
    ) dbt_internal_test",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474281646,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,X-Small,STANDARD,1,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:04.763 -0800,2025-02-18 12:06:05.638 -0800,875,105324544,1,0,444,0,1,0,0,0,0,0,22,22,0,0,0,58,817,0,0,0,0,,,0,,,0,0,1e-05,9.2.8,0,0,0,0,0,100,false,0,0,0,0,0,ROLE,76344c49b58c223b9cdbfb252be42209,2,76344c49b58c223b9cdbfb252be42209,1,,1,,,,,,,,
01ba7b56-0000-da6e-0001-933e000571e2,"select
      count(*) as failures,
      count(*) != 0 as should_warn,
      count(*) != 0 as should_error
    from (
      
    
    

select
    STORE_ID as unique_field,
    count(*) as n_records

from SALES_DW.DBT_PROJECT.dLocation
where STORE_ID is not null
group by STORE_ID
having count(*) > 1



      
    ) dbt_internal_test",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474281646,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,X-Small,STANDARD,1,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:04.473 -0800,2025-02-18 12:06:04.672 -0800,199,70144,1,0,444,0,1,0,0,0,0,0,8,8,0,0,0,162,37,0,0,0,0,,,0,,,0,0,2.6e-05,9.2.8,0,0,0,0,0,100,false,0,0,0,0,0,ROLE,695071d990c16cfea71ae0327e74822c,2,695071d990c16cfea71ae0327e74822c,1,,1,,,,,,,,
01ba7b56-0000-da4c-0001-933e000518b2,"select
      count(*) as failures,
      count(*) != 0 as should_warn,
      count(*) != 0 as should_error
    from (
      SELECT * 
FROM SALES_DW.DBT_PROJECT.fSales 
WHERE TOTAL_SALES = 0
      
    ) dbt_internal_test",26,SALES_DW,35,DBT_PROJECT,SELECT,443369474281646,OSCARFANTOZZI89,ACCOUNTADMIN,7,COMPUTE_WH,,STANDARD,,dbt_query_performance_test,SUCCESS,,,2025-02-18 12:06:04.296 -0800,2025-02-18 12:06:04.356 -0800,60,0,0,0,444,0,1,0,0,0,0,0,0,0,0,0,0,57,3,0,0,0,0,,,0,,,0,0,9e-06,9.2.8,0,0,0,0,0,,false,0,0,0,0,0,ROLE,d61adafdc9272dbe2d42bb6bc8cd49e3,2,58acd2409d151187f1213e1c5e398e6b,1,,1,,,,,,,,
