DATE,SALES_GOAL
2024-09-01,10000
2024-09-02,10450
2024-09-03,10900
2024-09-04,11350
2024-09-05,11800
2024-09-06,10750
2024-09-07,11200
2024-09-08,11650
2024-09-09,12100
2024-09-10,12550
2024-09-11,11500
2024-09-12,11950
2024-09-13,12400
2024-09-14,12850
2024-09-15,13300
2024-09-16,12250
2024-09-17,12700
2024-09-18,13150
2024-09-19,13600
2024-09-20,14050
2024-09-21,13000
2024-09-22,13450
2024-09-23,13900
2024-09-24,14350
2024-09-25,14800
2024-09-26,13750
2024-09-27,14200
2024-09-28,14650
2024-09-29,15100
2024-09-30,15550
